"spende","datum"
100,2017-09-25
20,2017-09-25
50,2017-09-25
100,2017-09-25
20,2017-09-25
20,2017-09-25
100,2017-09-25
200,2017-09-25
20,2017-09-25
10,2017-09-25
100,2017-09-25
50,2017-09-25
20,2017-09-25
100,2017-09-25
20,2017-09-25
50,2017-09-25
20,2017-09-25
30,2017-09-25
300,2017-09-25
20,2017-09-25
20,2017-09-25
100,2017-09-25
100,2017-09-25
100,2017-09-25
20,2017-09-25
500,2017-09-25
50,2017-09-25
20,2017-09-25
20,2017-09-25
30,2017-09-25
50,2017-09-25
80,2017-09-25
10,2017-09-25
30,2017-09-25
20,2017-09-25
20,2017-09-25
30,2017-09-25
15,2017-09-25
20,2017-09-25
50,2017-09-25
30,2017-09-25
100,2017-09-25
50,2017-09-25
50,2017-09-25
20,2017-09-25
50,2017-09-25
10,2017-09-25
50,2017-09-25
30,2017-09-25
10,2017-09-25
100,2017-09-25
200,2017-09-25
10,2017-09-25
10,2017-09-25
55,2017-09-25
40,2017-09-25
10,2017-09-25
10,2017-09-25
20,2017-09-25
15,2017-09-25
100,2017-09-25
30,2017-09-25
20,2017-09-25
50,2017-09-25
30,2017-09-25
100,2017-09-25
25,2017-09-25
50,2017-09-25
20,2017-09-25
10,2017-09-25
100,2017-09-25
50,2017-09-25
25,2017-09-25
50,2017-09-25
100,2017-09-25
15,2017-09-25
20,2017-09-25
100,2017-09-25
100,2017-09-25
100,2017-09-25
20,2017-09-25
20,2017-09-25
20,2017-09-25
20,2017-09-25
50,2017-09-25
50,2017-09-25
20,2017-09-25
20,2017-09-25
10,2017-09-25
50,2017-09-25
50,2017-09-25
50,2017-09-25
100,2017-09-25
50,2017-09-25
50,2017-09-25
20,2017-09-25
10,2017-09-25
100,2017-09-25
50,2017-09-25
50,2017-09-25
20,2017-09-25
10,2017-09-25
50,2017-09-25
50,2017-09-25
15,2017-09-25
25,2017-09-25
20,2017-09-25
3300,2017-09-25
10,2017-09-25
50,2017-09-25
50,2017-09-25
50,2017-09-25
20,2017-09-25
1000,2017-09-25
20,2017-09-25
20,2017-09-25
3000,2017-09-25
50,2017-09-25
30,2017-09-25
20,2017-09-25
100,2017-09-25
50,2017-09-25
10,2017-09-25
100,2017-09-25
40,2017-09-25
20,2017-09-25
20,2017-09-25
100,2017-09-25
20,2017-09-25
200,2017-09-25
200,2017-09-25
50,2017-09-25
25,2017-09-25
20,2017-09-25
100,2017-09-25
10,2017-09-25
20,2017-09-25
10,2017-09-25
20,2017-09-25
30,2017-09-25
100,2017-09-25
50,2017-09-25
20,2017-09-25
20,2017-09-25
10,2017-09-25
20,2017-09-25
30,2017-09-25
50,2017-09-25
30,2017-09-25
20,2017-09-25
30,2017-09-25
40,2017-09-25
10,2017-09-25
20,2017-09-25
50,2017-09-25
200,2017-09-25
10,2017-09-25
50,2017-09-25
50,2017-09-25
30,2017-09-25
50,2017-09-25
50,2017-09-25
20,2017-09-25
100,2017-09-25
50,2017-09-25
15,2017-09-25
100,2017-09-25
10,2017-09-25
3350,2017-09-25
50,2017-09-25
50,2017-09-25
10,2017-09-25
100,2017-09-25
10,2017-09-25
30,2017-09-25
20,2017-09-25
100,2017-09-25
20,2017-09-25
30,2017-09-25
20,2017-09-25
20,2017-09-25
15,2017-09-25
20,2017-09-25
40,2017-09-25
20,2017-09-25
10,2017-09-25
20,2017-09-25
30,2017-09-25
20,2017-09-25
100,2017-09-25
20,2017-09-25
50,2017-09-25
500,2017-09-25
3450,2017-09-25
1000,2017-09-25
50,2017-09-25
20,2017-09-25
300,2017-09-25
20,2017-09-25
100,2017-09-25
10,2017-09-25
10,2017-09-25
15,2017-09-25
50,2017-09-25
20,2017-09-25
20,2017-09-25
500,2017-09-25
50,2017-09-25
10,2017-09-25
20,2017-09-25
50,2017-09-25
20,2017-09-25
500,2017-09-25
500,2017-09-25
20,2017-09-25
300,2017-09-25
100,2017-09-25
50,2017-09-24
50,2017-09-24
100,2017-09-24
100,2017-09-24
100,2017-09-24
10,2017-09-24
100,2017-09-24
20,2017-09-24
50,2017-09-24
100,2017-09-24
50,2017-09-24
